EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,UG/KG,,UG/KG,,DEG C
  58GS20090528,   GIN,   206,  1,     13,2,20090531,0547, 68.4300,  14.0170,  143,     32.1,   7.3450,  33.8735,2,-999.0000,9,    304.4,2,     1.58,2,     2.06,2,     0.13,2,     0.28,2, -999.000,9, -999.000,9,       -999,9,   2085.2,2,   2272.9,2,     1.70,2,     0.66,2,   7.3420
  58GS20090528,   GIN,   206,  1,     14,2,20090531,0547, 68.4300,  14.0170,  143,     32.8,   7.3500,  33.8724,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.3469
  58GS20090528,   GIN,   206,  1,     15,2,20090531,0547, 68.4300,  14.0170,  143,     20.1,   7.3690,  33.8691,2,-999.0000,9,   -999.0,9,     1.63,2,     2.05,2,     0.14,2,     0.27,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     2.00,2,     0.76,2,   7.3671
  58GS20090528,   GIN,   206,  1,     16,2,20090531,0547, 68.4300,  14.0170,  143,     20.1,   7.3670,  33.8692,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.3651
  58GS20090528,   GIN,   206,  1,     17,2,20090531,0547, 68.4300,  14.0170,  143,     10.3,   7.3670,  33.8694,2,-999.0000,9,    304.9,2,     1.58,2,     2.01,2,     0.13,2,     0.26,2, -999.000,9, -999.000,9,       -999,9,   2083.3,2,   2270.6,2,     1.98,2,     0.87,2,   7.3660
  58GS20090528,   GIN,   206,  1,     18,2,20090531,0547, 68.4300,  14.0170,  143,      9.7,   7.3670,  33.8692,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.3661
  58GS20090528,   GIN,   206,  1,     19,2,20090531,0547, 68.4300,  14.0170,  143,      5.1,   7.3670,  33.8698,2,-999.0000,9,   -999.0,9,     1.60,2,     2.04,2,     0.14,2,     0.27,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     1.94,2,     0.84,2,   7.3665
  58GS20090528,   GIN,   206,  1,     20,2,20090531,0547, 68.4300,  14.0170,  143,      5.6,   7.3670,  33.8698,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.3665
  58GS20090528,   GIN,   208,  1,      1,2,20090531,1043, 68.5130,  13.7850, 1961,    125.2,   7.0070,  34.8046,2,-999.0000,9,    278.5,2,     4.27,2,     9.61,2,     0.10,2,     0.69,2, -999.000,9, -999.000,9,       -999,9,   2140.4,2,   2303.6,2,  -999.00,9,  -999.00,9,   6.9954
  58GS20090528,   GIN,   208,  1,      2,2,20090531,1043, 68.5130,  13.7850, 1961,    100.3,   6.7710,  34.6486,2,-999.0000,9,    280.1,2,     4.26,2,     9.66,2,     0.12,2,     0.73,2, -999.000,9, -999.000,9,       -999,9,   2134.8,2,   2299.9,2,     0.05,2,     0.23,2,   6.7619
  58GS20090528,   GIN,   208,  1,      3,2,20090531,1043, 68.5130,  13.7850, 1961,     75.0,   6.4860,  34.4813,2,-999.0000,9,    284.2,2,     1.87,2,     3.90,2,     0.23,2,     0.39,2, -999.000,9, -999.000,9,       -999,9,   2133.4,2,   2294.6,2,     0.07,2,     0.28,2,   6.4794
  58GS20090528,   GIN,   208,  1,      4,2,20090531,1043, 68.5130,  13.7850, 1961,     49.0,   7.0460,  34.1076,2,-999.0000,9,    297.0,2,     1.38,2,     2.22,2,     0.14,2,     0.28,2, -999.000,9, -999.000,9,       -999,9,   2102.6,2,   2286.9,2,     0.72,2,     0.53,2,   7.0415
  58GS20090528,   GIN,   208,  1,      5,2,20090531,1043, 68.5130,  13.7850, 1961,     29.5,   7.3970,  34.0510,2,-999.0000,9,    301.4,2,     1.45,2,     2.44,2,     0.16,2,     0.30,2, -999.000,9, -999.000,9,       -999,9,   2091.5,2,   2281.9,2,     1.75,2,     0.71,2,   7.3942
  58GS20090528,   GIN,   208,  1,      6,2,20090531,1043, 68.5130,  13.7850, 1961,     30.4,   7.4550,  34.0416,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.4521
  58GS20090528,   GIN,   208,  1,      7,2,20090531,1043, 68.5130,  13.7850, 1961,     20.6,   7.4640,  34.0414,2,-999.0000,9,   -999.0,9,     1.37,2,     2.18,2,     0.14,2,     0.26,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     1.86,2,     0.70,2,   7.4620
  58GS20090528,   GIN,   208,  1,      8,2,20090531,1043, 68.5130,  13.7850, 1961,     21.4,   7.4650,  34.0411,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.4630
  58GS20090528,   GIN,   208,  1,      9,2,20090531,1043, 68.5130,  13.7850, 1961,      9.6,   7.4670,  34.0405,2,-999.0000,9,    302.3,2,     1.36,2,     2.16,2,     0.13,2,     0.26,2, -999.000,9, -999.000,9,       -999,9,   2093.8,2,   2282.5,2,     1.97,2,     0.66,2,   7.4661
  58GS20090528,   GIN,   208,  1,     10,2,20090531,1043, 68.5130,  13.7850, 1961,      9.3,   7.4690,  34.0402,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.4681
  58GS20090528,   GIN,   208,  1,     11,2,20090531,1043, 68.5130,  13.7850, 1961,      5.3,   7.4680,  34.0404,2,-999.0000,9,   -999.0,9,     1.36,2,     2.15,2,     0.13,2,     0.25,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     1.88,2,     0.86,2,   7.4675
  58GS20090528,   GIN,   208,  1,     12,2,20090531,1043, 68.5130,  13.7850, 1961,      5.6,   7.4710,  34.0399,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.4705
  58GS20090528,   GIN,   210,  1,      1,2,20090531,1246, 68.5800,  13.5830, 1961,    124.6,   6.9590,  34.7984,2,-999.0000,9,   -999.0,9,     4.42,2,     9.68,2,     0.11,2,     0.69,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   6.9475
  58GS20090528,   GIN,   210,  1,      2,2,20090531,1246, 68.5800,  13.5830, 1961,     99.4,   6.8520,  34.7311,2,-999.0000,9,   -999.0,9,     4.32,2,     9.55,2,     0.07,2,     0.66,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     0.02,2,     0.22,2,   6.8429
  58GS20090528,   GIN,   210,  1,      3,2,20090531,1246, 68.5800,  13.5830, 1961,     72.8,   6.7690,  34.6638,2,-999.0000,9,   -999.0,9,     3.88,2,     9.08,2,     0.06,2,     0.64,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     0.05,2,     0.27,2,   6.7624
  58GS20090528,   GIN,   210,  1,      4,2,20090531,1246, 68.5800,  13.5830, 1961,     49.4,   6.5830,  34.2419,2,-999.0000,9,   -999.0,9,     2.77,2,     6.76,2,     0.15,2,     0.51,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     0.23,2,     0.40,2,   6.5786
  58GS20090528,   GIN,   210,  1,      5,2,20090531,1246, 68.5800,  13.5830, 1961,     31.1,   7.5330,  34.0293,2,-999.0000,9,   -999.0,9,     1.21,2,     1.53,2,     0.11,2,     0.21,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     1.88,2,     0.56,2,   7.5300
  58GS20090528,   GIN,   210,  1,      6,2,20090531,1246, 68.5800,  13.5830, 1961,     31.3,   7.6300,  34.0072,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.6270
  58GS20090528,   GIN,   210,  1,      7,2,20090531,1246, 68.5800,  13.5830, 1961,     18.7,   7.6370,  34.0089,2,-999.0000,9,   -999.0,9,     1.21,2,     1.53,2,     0.11,2,     0.21,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     2.12,2,     0.62,2,   7.6352
  58GS20090528,   GIN,   210,  1,      8,2,20090531,1246, 68.5800,  13.5830, 1961,     18.9,   7.6360,  34.0091,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.6342
  58GS20090528,   GIN,   210,  1,      9,2,20090531,1246, 68.5800,  13.5830, 1961,      9.1,   7.6440,  34.0085,2,-999.0000,9,   -999.0,9,     1.22,2,     1.51,2,     0.10,2,     0.22,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     1.93,2,     0.61,2,   7.6431
  58GS20090528,   GIN,   210,  1,     10,2,20090531,1246, 68.5800,  13.5830, 1961,      9.1,   7.6450,  34.0086,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.6441
  58GS20090528,   GIN,   210,  1,     11,2,20090531,1246, 68.5800,  13.5830, 1961,      4.9,   7.6510,  34.0083,2,-999.0000,9,   -999.0,9,     1.25,2,     1.57,2,     0.12,2,     0.21,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     1.97,2,     0.60,2,   7.6505
  58GS20090528,   GIN,   210,  1,     12,2,20090531,1246, 68.5800,  13.5830, 1961,      5.0,   7.6510,  34.0084,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.6505
  58GS20090528,   GIN,   212,  1,      1,2,20090531,1525, 68.7330,  13.1670, 2487,    108.6,   7.1680,  34.9416,2,  34.9363,2,    277.3,2,     4.44,2,    10.08,2,     0.14,2,     0.72,2, -999.000,9, -999.000,9,       -999,9,   2142.2,2,   2301.2,2,  -999.00,9,  -999.00,9,   7.1578
  58GS20090528,   GIN,   212,  1,      2,2,20090531,1525, 68.7330,  13.1670, 2487,     99.9,   7.1680,  34.9409,2,  34.9356,2,    277.4,2,     4.39,2,    10.12,2,     0.14,2,     0.69,2, -999.000,9, -999.000,9,       -999,9,   2142.1,2,   2309.1,2,     0.04,2,     0.22,2,   7.1586
  58GS20090528,   GIN,   212,  1,      3,2,20090531,1525, 68.7330,  13.1670, 2487,     75.0,   7.6030,  34.6742,2,  34.7118,2,    288.0,2,     2.90,2,     6.95,2,     0.15,2,     0.52,2, -999.000,9, -999.000,9,       -999,9,   2121.9,2,   2303.1,2,     1.00,2,     0.43,2,   7.5957
  58GS20090528,   GIN,   212,  1,      4,2,20090531,1525, 68.7330,  13.1670, 2487,     48.6,   7.8030,  34.6522,2,  34.6470,2,    296.7,2,     2.10,2,     4.89,2,     0.17,2,     0.38,2, -999.000,9, -999.000,9,       -999,9,   2112.0,2,   2303.1,2,     1.83,2,     0.51,2,   7.7982
  58GS20090528,   GIN,   212,  1,      5,2,20090531,1525, 68.7330,  13.1670, 2487,     31.1,   7.7940,  34.6514,2,  34.6464,2,    296.7,2,     2.09,2,     4.91,2,     0.17,2,     0.39,2, -999.000,9, -999.000,9,       -999,9,   2110.4,2,   2301.9,2,     1.85,2,     0.66,2,   7.7910
  58GS20090528,   GIN,   212,  1,      6,2,20090531,1525, 68.7330,  13.1670, 2487,     31.3,   7.7920,  34.6519,2,  34.6444,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.7889
  58GS20090528,   GIN,   212,  1,      7,2,20090531,1525, 68.7330,  13.1670, 2487,     20.4,   7.8020,  34.6507,2,  34.6446,2,   -999.0,9,     2.10,2,     4.91,2,     0.18,2,     0.39,2, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,     1.85,2,     0.71,2,   7.8000
  58GS20090528,   GIN,   212,  1,      8,2,20090531,1525, 68.7330,  13.1670, 2487,     10.6,   7.8180,  34.6517,2,  34.6446,2,    297.3,2,     2.05,2,     4.86,2,     0.13,2,     0.39,2, -999.000,9, -999.000,9,       -999,9,   2110.2,2,   2301.9,2,     1.87,2,     0.60,2,   7.8170
  58GS20090528,   GIN,   212,  1,      9,2,20090531,1525, 68.7330,  13.1670, 2487,     10.6,   7.8220,  34.6506,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,       -999,9,   -999.0,9,   -999.0,9,  -999.00,9,  -999.00,9,   7.8210
