cruise,station,cast,year,month,day,hour,minute,latitude,longitude,bottomdepth,maxsampdepth,bottle,pressure,depth,temperature,theta,salinity,salinityf,salinityqc,sigma0,sigma1,sigma2,sigma3,sigma4,gamma,oxygen,oxygenf,oxygenqc,aou,aouf,nitrate,nitratef,nitrateqc,nitrite,nitritef,silicate,silicatef,silicateqc,phosphate,phosphatef,phosphateqc,tco2,tco2f,tco2qc,talk,talkf,talkqc,phts25p0,phts25p0f,phtsinsitutp,phtsinsitutpf,phtsqc,cfc11,pcfc11,cfc11f,cfc11qc,cfc12,pcfc12,cfc12f,cfc12qc,cfc113,pcfc113,cfc113f,cfc113qc,ccl4,pccl4,ccl4f,ccl4qc,sf6,psf6,sf6f,c13,c13f,c14,c14f,c14err,h3,h3f,h3err,he3,he3f,he3err,he,hef,heerr,neon,neonf,neonerr,o18,o18f,toc,tocf,doc,docf,don,donf,tdn,tdnf,chla,chlaf
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,12,343,339,2.1345,2.11508,35.025,2,1,27.9825,32.6298,37.1728,41.6131,45.9525,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,13,342,338,2.1295,2.11015,35.024,2,1,27.9821,32.6296,37.1727,41.6131,45.9527,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,14,435,430,1.5836,1.56061,34.997,2,1,28.0034,32.6665,37.2248,41.6799,46.0337,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,15,429,424,1.6156,1.59283,34.998,2,1,28.0018,32.664,37.2214,41.6757,46.0286,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,16,429,424,1.6116,1.58885,34.995,2,1,27.9997,32.662,37.2195,41.6739,46.027,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,17,542,536,0.6728,0.647747,34.951,2,1,28.029,32.7187,37.3029,41.7831,46.1611,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,18,542,536,0.6708,0.645715,34.9929,2,1,28.0629,32.7523,37.3362,41.8161,46.1938,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,19,542,536,0.6738,0.648741,34.953,2,1,28.0306,32.7202,37.3043,41.7845,46.1625,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,20,668,660,-0.2719,-0.298263,34.92,2,1,28.0572,32.7751,37.3868,41.8937,46.2974,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,21,668,660,-0.2679,-0.294285,34.92,2,1,28.057,32.7748,37.3863,41.8932,46.2968,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
